backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,none,0,8,1,0.113552,1
OF,reference,CG,none,0,8,1,0.113691,1
OF,reference,CG,none,0,8,1,0.113217,1
OF,reference,CG,none,0,8,1,0.11871,1
OF,reference,CG,none,0,8,1,0.118208,1
OF,reference,CG,none,0,8,1,0.113788,1
OF,reference,CG,none,0,8,1,0.113731,1
OF,reference,CG,none,0,8,1,0.115494,1
OF,reference,CG,none,0,8,1,0.111867,1
OF,reference,CG,none,0,8,1,0.114478,1
OF,reference,CG,none,0,8,1,0.111283,1
OF,reference,CG,none,0,8,1,0.117677,1
OF,reference,CG,none,0,8,1,0.111843,1
OF,reference,CG,none,0,8,1,0.114498,1
OF,reference,CG,none,0,8,1,0.114167,1
OF,reference,CG,none,0,8,1,0.113858,1
OF,reference,CG,none,0,8,1,0.11532,1
OF,reference,CG,none,0,8,1,0.113034,1
OF,reference,CG,none,0,8,1,0.112761,1
OF,reference,CG,none,0,8,1,0.114084,1
OF,reference,CG,none,0,8,1,0.113553,1
OF,reference,CG,none,0,8,1,0.112713,1
OF,reference,CG,none,0,8,1,0.114416,1
OF,reference,CG,none,0,8,1,0.11248,1
OF,reference,CG,none,0,8,1,0.113854,1
OF,reference,CG,none,0,8,1,0.11406,1
OF,reference,CG,none,0,8,1,0.112099,1
OF,reference,CG,none,0,8,1,0.114032,1
OF,reference,CG,none,0,8,1,0.113807,1
OF,reference,CG,none,0,8,1,0.1134,1
OF,reference,CG,none,0,8,1,0.112473,1
OF,reference,CG,none,0,8,1,0.112673,1
OF,reference,CG,none,0,8,1,0.111479,1
OF,reference,CG,none,0,8,1,0.113338,1
OF,reference,CG,none,0,8,1,0.115329,1
OF,reference,CG,none,0,8,1,0.118638,1
OF,reference,CG,none,0,8,1,0.121708,1
OF,reference,CG,none,0,8,1,0.112829,1
OF,reference,CG,none,0,8,1,0.113148,1
OF,reference,CG,none,0,8,1,0.112868,1
OF,reference,CG,none,0,8,1,0.115715,1
OF,reference,CG,none,0,8,1,0.111819,1
OF,reference,CG,none,0,8,1,0.113707,1
OF,reference,CG,none,0,8,1,0.114193,1
OF,reference,CG,none,0,8,1,0.125871,1
OF,reference,CG,none,0,8,1,0.111678,1
OF,reference,CG,none,0,8,1,0.113723,1
OF,reference,CG,none,0,8,1,0.111363,1
OF,reference,CG,none,0,8,1,0.111507,1
OF,reference,CG,none,0,8,1,0.113121,1
OF,reference,CG,none,0,8,1,0.112396,1
OF,reference,CG,none,0,8,1,0.114708,1
OF,reference,CG,none,0,8,1,0.115467,1
OF,reference,CG,none,0,8,1,0.111892,1
OF,reference,CG,none,0,8,1,0.115582,1
OF,reference,CG,none,0,8,1,0.114766,1
OF,reference,CG,none,0,8,1,0.113985,1
OF,reference,CG,none,0,8,1,0.113894,1
OF,reference,CG,none,0,8,1,0.112494,1
OF,reference,CG,none,0,8,1,0.112144,1
OF,reference,CG,none,0,8,1,0.115528,1
OF,reference,CG,none,0,8,1,0.116127,1
OF,reference,CG,none,0,8,1,0.112238,1
OF,reference,CG,none,0,8,1,0.112291,1
OF,reference,CG,none,0,8,1,0.11474,1
OF,reference,CG,none,0,8,1,0.112351,1
OF,reference,CG,none,0,8,1,0.11364,1
OF,reference,CG,none,0,8,1,0.120311,1
OF,reference,BiCGStab,none,0,8,1,0.124196,1
OF,reference,BiCGStab,none,0,8,1,0.116212,1
OF,reference,BiCGStab,none,0,8,1,0.114441,1
OF,reference,BiCGStab,none,0,8,1,0.11941,1
OF,reference,BiCGStab,none,0,8,1,0.117121,1
OF,reference,BiCGStab,none,0,8,1,0.114011,1
OF,reference,BiCGStab,none,0,8,1,0.115178,1
OF,reference,BiCGStab,none,0,8,1,0.11683,1
OF,reference,BiCGStab,none,0,8,1,0.116564,1
OF,reference,BiCGStab,none,0,8,1,0.114089,1
OF,reference,BiCGStab,none,0,8,1,0.113979,1
OF,reference,BiCGStab,none,0,8,1,0.113502,1
OF,reference,BiCGStab,none,0,8,1,0.116488,1
