backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,BiCGStab,none,0,8,1,0.11379,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113217,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111318,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113494,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114799,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111688,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120715,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122061,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119906,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119077,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11281,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114294,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120258,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118387,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111346,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113153,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120749,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116924,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114874,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113489,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114524,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122115,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116895,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114028,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114992,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114926,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114253,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113187,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117324,1
OF,reference,CG,BiCGStab,none,0,8,1,0.130212,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110851,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112103,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110818,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114191,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114728,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111728,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114264,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111166,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119661,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118355,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122672,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117517,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113224,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110595,1
