backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.118283,1,614
OF,reference,CG,none,8,1,0.122155,1,614
OF,reference,CG,none,8,1,0.118756,1,614
OF,reference,CG,none,8,1,0.118938,1,614
OF,reference,CG,none,8,1,0.118805,1,614
OF,reference,CG,none,8,1,0.123573,1,614
OF,reference,CG,none,8,1,0.119222,1,614
OF,reference,CG,none,8,1,0.122167,1,614
OF,reference,CG,none,8,1,0.114898,1,614
OF,reference,CG,none,8,1,0.118026,1,614
OF,reference,CG,none,8,1,0.11792,1,614
OF,reference,CG,none,8,1,0.117035,1,614
OF,reference,CG,none,8,1,0.117418,1,614
OF,reference,CG,none,8,1,0.122697,1,614
OF,reference,CG,none,8,1,0.118437,1,614
OF,reference,CG,none,8,1,0.117234,1,614
OF,reference,CG,none,8,1,0.11516,1,614
OF,reference,CG,none,8,1,0.119259,1,614
OF,reference,CG,none,8,1,0.121707,1,614
OF,reference,CG,none,8,1,0.119804,1,614
OF,reference,CG,none,8,1,0.118202,1,614
OF,reference,CG,none,8,1,0.114981,1,614
OF,reference,CG,none,8,1,0.113483,1,614
OF,reference,CG,none,8,1,0.115905,1,614
OF,reference,CG,none,8,1,0.120852,1,614
OF,reference,CG,none,8,1,0.120593,1,614
OF,reference,CG,none,8,1,0.12079,1,614
OF,reference,CG,none,8,1,0.119645,1,614
OF,reference,CG,none,8,1,0.117548,1,614
OF,reference,CG,none,8,1,0.113963,1,614
OF,reference,CG,none,8,1,0.120828,1,614
OF,reference,CG,none,8,1,0.120981,1,614
OF,reference,CG,none,8,1,0.119515,1,614
OF,reference,CG,none,8,1,0.116606,1,614
OF,reference,CG,none,8,1,0.118772,1,614
OF,reference,CG,none,8,1,0.115639,1,614
OF,reference,CG,none,8,1,0.125665,1,614
OF,reference,CG,none,8,1,0.12379,1,614
OF,reference,CG,none,8,1,0.12464,1,614
OF,reference,CG,none,8,1,0.12355,1,614
OF,reference,CG,none,8,1,0.1157,1,614
OF,reference,CG,none,8,1,0.118442,1,614
OF,reference,CG,none,8,1,0.115837,1,614
OF,reference,CG,none,8,1,0.117289,1,614
OF,reference,CG,none,8,1,0.115971,1,614
OF,reference,CG,none,8,1,0.118626,1,614
OF,reference,CG,none,8,1,0.118698,1,614
OF,reference,CG,none,8,1,0.120843,1,614
OF,reference,CG,none,8,1,0.11581,1,614
OF,reference,CG,none,8,1,0.11979,1,614
OF,reference,CG,none,8,1,0.117616,1,614
OF,reference,CG,none,8,1,0.116343,1,614
OF,reference,CG,none,8,1,0.128004,1,614
OF,reference,CG,none,8,1,0.11564,1,614
OF,reference,CG,none,8,1,0.112325,1,614
OF,reference,CG,none,8,1,0.112048,1,614
OF,reference,CG,none,8,1,0.118478,1,614
OF,reference,CG,none,8,1,0.124696,1,614
OF,reference,CG,none,8,1,0.116956,1,614
OF,reference,CG,none,8,1,0.118046,1,614
OF,reference,CG,none,8,1,0.121225,1,614
OF,reference,CG,none,8,1,0.114195,1,614
OF,reference,CG,none,8,1,0.11769,1,614
OF,reference,CG,none,8,1,0.116624,1,614
OF,reference,CG,none,8,1,0.115942,1,614
OF,reference,CG,none,8,1,0.122065,1,614
OF,reference,CG,none,8,1,0.119393,1,614
OF,reference,CG,none,8,1,0.117286,1,614
OF,reference,CG,none,8,1,0.115798,1,614
OF,reference,CG,none,8,1,0.119065,1,614
OF,reference,CG,none,8,1,0.116104,1,614
OF,reference,CG,none,8,1,0.121039,1,614
OF,reference,CG,none,8,1,0.121878,1,614
OF,reference,CG,none,8,1,0.120498,1,614
OF,reference,CG,none,8,1,0.116775,1,614
OF,reference,CG,none,8,1,0.118182,1,614
OF,reference,CG,none,8,1,0.118555,1,614
OF,reference,CG,none,8,1,0.117317,1,614
OF,reference,CG,none,8,1,0.117246,1,614
OF,reference,CG,none,8,1,0.125434,1,614
OF,reference,CG,none,8,1,0.113415,1,614
OF,reference,CG,none,8,1,0.120248,1,614
OF,reference,CG,none,8,1,0.12424,1,614
OF,reference,CG,none,8,1,0.124021,1,614
OF,reference,CG,none,8,1,0.118722,1,614
