backend,executor,solver-p,solver-U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,32,1,2.941853,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.871616,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.926979,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.933208,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.937686,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.882132,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.896674,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.860168,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.952069,1,2926
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.168511,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.137748,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.181821,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.175873,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.163379,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.163369,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.162633,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.1772,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.162166,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.178647,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.181914,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.173119,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.12982,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.172193,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.161152,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.18279,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.181352,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.156984,1,2100
GKO,cuda,BiCGStab,BiCGStab,none,32,1,3.157855,1,2100
GKO,cuda,CG,BiCGStab,none,64,1,23.403882,1,5980
GKO,cuda,CG,BiCGStab,none,64,1,23.288858,1,5980
GKO,cuda,CG,BiCGStab,none,64,1,23.067416,1,5980
GKO,cuda,CG,BiCGStab,none,64,1,23.190117,1,5980
GKO,cuda,CG,BiCGStab,none,64,1,22.986126,1,5980
GKO,cuda,BiCGStab,BiCGStab,none,64,1,25.559002,1,4210
GKO,cuda,BiCGStab,BiCGStab,none,64,1,25.409736,1,4210
GKO,cuda,BiCGStab,BiCGStab,none,64,1,25.394214,1,4210
GKO,cuda,BiCGStab,BiCGStab,none,64,1,25.254372,1,4210
GKO,cuda,BiCGStab,BiCGStab,none,64,1,25.30488,1,4210
