backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.21099,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211763,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212046,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211022,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211382,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.215661,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.216115,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.218391,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.216023,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213843,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.207872,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212228,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212381,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.222338,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213044,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.215673,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213709,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211439,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.217826,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212485,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.209855,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212541,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.215084,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.21147,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.220497,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.221316,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.227184,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213121,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.216043,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.216271,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.250072,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.217254,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.217622,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213554,1,425
