backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,CG,BiCGStab,none,0,32,1,3.089682,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.096045,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.074778,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.088467,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.081488,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.087169,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.096365,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.09132,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.087723,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.08147,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.089957,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.084022,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.082116,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.149187,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.086894,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.071716,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.09653,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.085883,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.358344,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.363942,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.362488,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.367463,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.388908,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.352686,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.363319,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.362644,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.366061,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.360141,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.363915,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.351479,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.360621,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.353988,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.366411,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.349595,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.377731,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.354833,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.37087,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.364251,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.367369,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.372144,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.371223,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.35969,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.355623,1
GKO,cuda,BiCGStab,BiCGStab,none,0,32,1,2.372008,1
GKO,cuda,CG,BiCGStab,none,0,64,1,14.646376,1
GKO,cuda,CG,BiCGStab,none,0,64,1,14.635088,1
GKO,cuda,CG,BiCGStab,none,0,64,1,14.625025,1
GKO,cuda,CG,BiCGStab,none,0,64,1,14.620283,1
GKO,cuda,CG,BiCGStab,none,0,64,1,14.654902,1
GKO,cuda,BiCGStab,BiCGStab,none,0,64,1,16.75632,1
GKO,cuda,BiCGStab,BiCGStab,none,0,64,1,16.836339,1
GKO,cuda,BiCGStab,BiCGStab,none,0,64,1,16.721442,1
GKO,cuda,BiCGStab,BiCGStab,none,0,64,1,16.843855,1
GKO,cuda,BiCGStab,BiCGStab,none,0,64,1,16.816025,1
